,Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,Price
7156,Hyundai,i20,2011.0,13.0,130000.0,Automatic,first,Hybrid/CNG,130000.0
7157,Ford,Ecosport,2019.0,5.0,93585.0,Automatic,first,Hybrid/CNG,599999.0
7158,Maruti Suzuki,Baleno,2018.0,6.0,51000.0,Manual,first,Hybrid/CNG,395000.0
7159,Maruti Suzuki,Wagon-R,2015.0,9.0,47858.0,Automatic,first,Hybrid/CNG,335000.0
7160,Hyundai,i20,2018.0,6.0,70000.0,Manual,first,Hybrid/CNG,525000.0
7161,Volkswagen,Polo,2013.0,11.0,61000.0,Manual,second,Diesel,290000.0
7162,Volkswagen,VentoTest,2010.0,14.0,65000.0,Manual,second,Hybrid/CNG,199999.0
7163,Land Rover,Range Rover Evoque,2013.0,11.0,113000.0,Automatic,second,Diesel,1990000.0
7164,Maruti Suzuki,Omni,2014.0,10.0,100000.0,Automatic,first,Hybrid/CNG,180000.0
7165,Toyota,Innova,2010.0,14.0,230000.0,Manual,second,Diesel,725000.0
7166,Maruti Suzuki,Alto-800,2018.0,6.0,60000.0,Manual,second,Hybrid/CNG,245000.0
7167,Chevrolet,Cruze,2015.0,9.0,65000.0,Automatic,second,Diesel,485000.0
7168,Maruti Suzuki,maruti-suzuki-dzire,2016.0,8.0,115000.0,Automatic,first,Diesel,551000.0
7169,Ford,Endeavour,2011.0,13.0,96000.0,Automatic,second,Diesel,351000.0
7170,BMW,3 Series GT,2016.0,8.0,97000.0,Automatic,first,Diesel,1600000.0
7171,Honda,Amaze,2015.0,9.0,46000.0,Automatic,second,Petrol,349000.0
7172,Tata,Tiago,2018.0,6.0,43000.0,Automatic,first,Hybrid/CNG,535000.0
7173,Chevrolet,Cruze,2011.0,13.0,97000.0,Automatic,second,Diesel,410000.0
7174,Maruti Suzuki,Alto-800,2016.0,8.0,61000.0,Manual,second,Petrol,230000.0
7175,Honda,City,2016.0,8.0,38000.0,Manual,first,Diesel,775000.0
7176,Maruti Suzuki,Alto-800,2013.0,11.0,76000.0,Manual,second,Petrol,284000.0
7177,Hyundai,Santa Fe,2016.0,8.0,94000.0,Automatic,second,Diesel,745000.0
7178,Maruti Suzuki,Wagon R,2011.0,13.0,84000.0,Manual,second,Hybrid/CNG,185000.0
7179,Volkswagen,Polo,2017.0,7.0,60000.0,Manual,second,Diesel,740000.0
7180,Tata,Nano,2010.0,14.0,9167.0,Manual,first,Petrol,55000.0
7181,Maruti Suzuki,Wagon-R,2012.0,12.0,78000.0,Manual,second,Hybrid/CNG,195000.0
7182,Ford,Endeavour,2016.0,8.0,88500.0,Automatic,second,Diesel,1585000.0
7183,Honda,City,2017.0,7.0,59700.0,Automatic,second,Hybrid/CNG,568000.0
7184,Maruti Suzuki,Wagon-R,2015.0,9.0,62000.0,Automatic,second,Hybrid/CNG,120000.0
7185,Ford,Ecosport,2019.0,5.0,40392.0,Automatic,first,Hybrid/CNG,849000.0
7186,Honda,Accord,2012.0,12.0,86000.0,Automatic,second,Petrol,390000.0
7187,Hyundai,i10,2012.0,12.0,29000.0,Manual,second,Petrol,199999.0
7188,Honda,Amaze,2019.0,5.0,19000.0,Automatic,first,Petrol,695000.0
7189,Hyundai,i10,2015.0,9.0,104000.0,Automatic,second,Hybrid/CNG,245000.0
7190,Skoda,Rapid,2013.0,11.0,69000.0,Manual,first,Diesel,349999.0
7191,Maruti Suzuki,Wagon-R,2012.0,12.0,58500.0,Manual,second,Hybrid/CNG,250000.0
7192,Maruti Suzuki,maruti-suzuki-dzire,2011.0,13.0,59000.0,Manual,second,Hybrid/CNG,246000.0
7193,Maruti Suzuki,Ritz,2011.0,13.0,85000.0,Automatic,second,Hybrid/CNG,155000.0
7194,Maruti Suzuki,Ertiga,2016.0,8.0,59000.0,Manual,second,Diesel,820000.0
7195,Maruti Suzuki,Swift,2024.0,0.0,19000.0,Manual,first,Petrol,728000.0
7196,Toyota,Innova,2015.0,9.0,177000.0,Manual,first,Diesel,575000.0
7197,Honda,City,2015.0,9.0,58000.0,Automatic,second,Hybrid/CNG,510000.0
7198,Maruti Suzuki,Wagon-R,2017.0,7.0,60000.0,Manual,second,Hybrid/CNG,295000.0
7199,MG,Hector Plus,2023.0,1.0,42500.0,Automatic,first,Petrol,1850000.0
7200,Maruti Suzuki,Eeco,2019.0,5.0,82453.0,Automatic,second,Hybrid/CNG,360000.0
7201,Maruti Suzuki,Baleno,2019.0,5.0,251174.0,Automatic,first,Diesel,100000.0
7202,Hyundai,Grand i10,2013.0,11.0,42900.0,Automatic,first,Hybrid/CNG,385000.0
7203,Maruti Suzuki,Wagon-R,2019.0,5.0,19000.0,Manual,first,Petrol,525000.0
7204,Renault,Triber,2021.0,3.0,18000.0,Automatic,second,Petrol,550000.0
7205,Hyundai,i20,2018.0,6.0,79100.0,Manual,second,Hybrid/CNG,535000.0
7206,Toyota,Corolla,2008.0,16.0,140000.0,Manual,second,Hybrid/CNG,225000.0
7207,Maruti Suzuki,Vitara-Brezza,2022.0,2.0,30000.0,Manual,first,Petrol,950000.0
7208,Maruti Suzuki,Swift,2018.0,6.0,80000.0,Automatic,first,Petrol,499999.0
7209,Maruti Suzuki,Celerio,2015.0,9.0,55000.0,Automatic,second,Hybrid/CNG,400000.0
7210,Honda,City,2016.0,8.0,71000.0,Automatic,second,Petrol,549999.0
7211,Maruti Suzuki,Wagon-R,2022.0,2.0,80000.0,Manual,first,Hybrid/CNG,499999.0
7212,Ford,Figo,2015.0,9.0,63500.0,Manual,first,Petrol,244999.0
7213,MG,Hector,2019.0,5.0,45000.0,Automatic,second,Petrol,1290000.0
7214,Maruti Suzuki,Wagon-R,2022.0,2.0,24000.0,Manual,first,Hybrid/CNG,639000.0
